Year,Month,Town,Category,Value
2017,08,BUKIT BATOK,Minimum Price,250000.0
2017,08,BUKIT BATOK,Minimum Area,60.0
2017,08,BUKIT BATOK,Average Price,384553.63
2017,08,BUKIT BATOK,Average Area,91.86
2017,08,BUKIT BATOK,Standard Deviation of Price,133012.52
2017,08,BUKIT BATOK,Standard Deviation of Area,25.16
