Year,Month,Town,Category,Value
2019,05,HOUGANG,Minimum Price,220000.0
2019,05,HOUGANG,Minimum Area,47.0
2019,05,HOUGANG,Average Price,419224.88
2019,05,HOUGANG,Average Area,99.41
2019,05,HOUGANG,Standard Deviation of Price,134100.04
2019,05,HOUGANG,Standard Deviation of Area,25.32
